id,carat,cut,color,clarity,depth,table,x,y,z,price
97,1.51,Premium,H,VS2,61.5,58.0,7.45,7.32,4.45,10548
98,1.0,Ideal,E,SI1,61.7,57.0,6.39,6.42,3.95,5555
99,0.3,Very Good,G,VVS1,61.9,55.0,4.31,4.32,2.67,680
100,0.76,Ideal,E,SI2,62.1,56.0,5.85,5.88,3.64,2978
101,1.11,Premium,I,VS2,60.4,58.0,6.79,6.73,4.08,4942
102,1.07,Ideal,H,VS1,62.3,55.0,6.59,6.54,4.09,6082
103,0.32,Ideal,H,VS1,61.3,55.0,4.43,4.41,2.71,720
104,0.73,Ideal,F,VVS2,61.7,54.0,5.82,5.76,3.57,3463
105,0.3,Very Good,G,VS1,61.2,59.0,4.28,4.32,2.63,605
106,0.3,Ideal,H,VS2,60.7,57.0,4.37,4.33,2.64,608
107,0.27,Ideal,D,VVS1,61.9,57.0,4.15,4.18,2.58,622
108,0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,3367
109,0.51,Ideal,G,VVS2,61.3,57.0,5.12,5.15,3.15,1875
110,0.4,Ideal,F,IF,62.3,57.0,4.69,4.71,2.93,1292
111,0.41,Ideal,G,VVS2,61.0,57.0,4.8,4.78,2.92,1076
112,0.72,Ideal,E,VS1,62.6,55.0,5.7,5.73,3.58,3275
113,1.0,Good,E,SI2,64.0,54.0,6.31,6.26,4.01,4026
114,0.58,Ideal,D,SI1,61.1,57.0,5.41,5.36,3.29,1829
115,0.3,Ideal,H,SI1,62.4,52.8,4.28,4.33,2.69,475
116,1.58,Premium,F,SI1,61.4,61.0,7.48,7.45,4.58,12512
117,0.52,Premium,D,SI1,62.7,58.0,5.2,5.16,3.25,1605
118,0.3,Ideal,E,VVS2,61.7,55.0,4.31,4.28,2.65,1013
119,0.34,Ideal,E,VS1,62.0,57.0,4.49,4.44,2.77,881
120,1.01,Very Good,G,IF,60.0,61.0,6.41,6.45,3.86,7974
121,1.6,Good,H,VS1,59.9,61.0,7.59,7.56,4.54,12546
122,1.0,Premium,G,VS1,62.9,60.0,6.36,6.29,3.98,6989
123,0.9,Premium,D,SI2,59.8,61.0,6.21,6.17,3.7,3780
124,1.51,Very Good,I,SI2,63.5,60.0,7.28,7.21,4.6,7441
125,1.51,Premium,G,VS2,62.7,58.0,7.2,7.31,4.55,12756
126,0.31,Premium,E,SI1,59.1,59.0,4.44,4.42,2.62,698
127,1.07,Premium,G,VS2,62.1,58.0,6.59,6.55,4.08,6471
128,0.3,Premium,E,SI1,59.8,60.0,4.35,4.31,2.59,675
129,1.32,Premium,I,SI2,60.8,58.0,7.03,7.11,4.3,4704
130,1.23,Premium,J,VS1,60.1,60.0,6.9,6.95,4.16,5209
131,0.7,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,2390
132,0.74,Good,E,VS1,63.4,55.0,5.76,5.78,3.66,3416
133,0.79,Ideal,I,SI1,61.6,57.0,5.94,6.0,3.68,2442
134,0.5,Very Good,F,SI2,62.5,56.0,5.05,5.09,3.17,1020
135,0.6,Very Good,G,VS1,61.9,56.0,5.41,5.45,3.36,2094
136,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,2787
137,0.4,Ideal,D,SI1,60.8,57.0,4.77,4.81,2.91,772
138,0.34,Ideal,E,VS1,62.4,54.0,4.45,4.49,2.79,827
139,1.76,Premium,G,VS2,61.5,58.0,7.78,7.74,4.77,16879
140,0.3,Ideal,J,VVS2,62.3,58.0,4.26,4.28,2.66,439
141,0.35,Very Good,I,VS2,62.9,57.0,4.5,4.53,2.84,491
142,1.34,Ideal,H,VS2,60.8,55.0,7.18,7.12,4.35,7999
143,0.53,Premium,H,SI1,59.4,60.0,5.24,5.26,3.12,1132
144,0.28,Ideal,H,IF,62.0,56.0,4.2,4.23,2.61,586
145,0.35,Very Good,G,VVS2,62.2,58.0,4.49,4.54,2.81,798
146,0.31,Ideal,D,SI1,61.8,57.0,4.32,4.36,2.68,571
147,0.92,Ideal,F,SI2,61.5,56.0,6.27,6.32,3.87,3763
148,2.04,Premium,I,VS2,62.5,58.0,8.22,8.09,5.1,17028
149,0.72,Ideal,F,VS1,61.5,56.0,5.74,5.77,3.53,3759
150,0.31,Very Good,G,VVS1,63.0,56.0,4.26,4.28,2.69,710
151,1.15,Ideal,E,SI1,62.7,56.0,6.73,6.7,4.21,5526
152,1.01,Very Good,G,SI1,60.0,58.0,6.51,6.55,3.92,4719
153,0.53,Ideal,F,VVS1,60.9,57.0,5.23,5.29,3.19,2830
154,0.31,Good,E,SI1,63.7,57.0,4.29,4.31,2.74,544
155,0.34,Ideal,E,VS2,62.1,54.0,4.52,4.5,2.8,956
156,0.52,Ideal,G,VS1,62.3,55.0,5.16,5.14,3.21,1815
157,0.34,Ideal,I,VS1,62.0,54.0,4.49,4.51,2.79,501
158,1.16,Ideal,I,SI2,62.6,56.0,6.73,6.68,4.2,4560
159,0.42,Ideal,F,SI1,61.6,56.0,4.83,4.81,2.97,886
160,1.09,Ideal,H,SI1,62.5,56.0,6.53,6.58,4.1,5125
161,1.09,Premium,G,SI1,60.2,60.0,6.7,6.66,4.02,5402
162,0.47,Very Good,D,VS1,60.0,59.0,5.07,5.09,3.06,1795
163,0.56,Ideal,E,SI2,61.9,55.0,5.32,5.34,3.3,1296
164,1.02,Ideal,D,IF,63.0,57.0,6.39,6.35,4.01,15575
165,0.36,Very Good,F,SI1,61.9,59.0,4.51,4.54,2.8,600
166,0.3,Ideal,H,VVS2,61.6,55.0,4.3,4.34,2.66,605
167,1.3,Fair,E,I1,66.5,58.0,6.79,6.75,4.5,2571
168,1.56,Premium,H,VS2,62.4,58.0,7.44,7.39,4.63,10331
169,0.5,Ideal,G,SI2,61.0,57.0,5.13,5.15,3.13,1127
170,1.0,Premium,E,VS1,61.4,58.0,6.44,6.42,3.95,7420
171,0.51,Ideal,D,VS2,61.4,57.0,5.13,5.16,3.16,1716
172,0.38,Ideal,H,VVS1,60.7,56.0,4.75,4.74,2.88,1069
173,0.34,Ideal,D,VS2,61.0,56.0,4.51,4.54,2.76,967
174,0.72,Premium,J,VS2,61.4,58.0,5.74,5.76,3.53,1846
175,0.94,Premium,F,SI1,59.8,61.0,6.39,6.35,3.81,4748
176,0.52,Very Good,G,SI2,63.1,56.0,5.12,5.08,3.22,1151
177,2.12,Premium,I,SI2,60.6,59.0,8.3,8.27,5.02,15235
178,0.84,Good,G,VS2,63.6,59.0,5.94,5.89,3.76,3312
179,0.9,Premium,I,VS2,62.8,61.0,6.12,6.02,3.81,3246
180,1.46,Premium,H,SI2,61.4,59.0,7.3,7.26,4.47,7604
181,2.18,Ideal,I,SI2,62.5,55.0,8.31,8.34,5.2,15706
182,0.57,Ideal,D,VS1,61.1,57.0,5.33,5.37,3.27,2043
183,0.43,Ideal,E,VVS2,60.8,57.0,4.9,4.87,2.97,1135
184,2.01,Premium,H,VS2,61.1,61.0,8.14,8.09,4.96,15908
185,1.52,Ideal,D,SI1,60.6,58.0,7.46,7.4,4.51,14426
186,1.01,Good,G,SI2,64.0,59.0,6.34,6.31,4.05,3461
187,0.32,Good,E,SI1,63.4,55.0,4.35,4.36,2.76,561
188,1.01,Premium,G,VS1,62.3,59.0,6.38,6.42,3.99,6499
189,0.35,Ideal,D,SI2,62.2,56.0,4.52,4.55,2.82,522
190,0.47,Very Good,F,VVS2,62.1,56.0,4.96,4.99,3.09,1616
191,0.36,Very Good,H,IF,61.6,56.0,4.57,4.62,2.83,865
192,0.5,Very Good,E,I1,63.1,61.0,5.04,4.97,3.16,720
193,2.01,Ideal,I,SI1,61.9,56.0,8.16,8.08,5.03,14558
194,0.34,Very Good,J,VS1,61.7,58.0,4.41,4.47,2.74,447
195,1.01,Good,G,SI2,64.5,61.0,6.24,6.31,4.05,3895
196,0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,743
197,0.44,Ideal,D,VVS1,60.6,56.0,4.95,4.99,3.01,2290
198,0.54,Ideal,G,VVS2,62.2,55.0,5.22,5.27,3.26,1868
199,0.8,Premium,J,SI2,60.2,59.0,6.07,5.95,3.62,2022
200,0.77,Ideal,D,VS1,62.2,55.0,5.85,5.88,3.65,4039
201,1.51,Ideal,F,VS2,62.2,53.0,7.35,7.31,4.56,13771
202,0.8,Good,D,SI2,64.0,60.0,5.91,5.81,3.75,2229
203,0.34,Very Good,E,SI2,63.1,56.0,4.51,4.46,2.83,571
204,0.3,Very Good,D,SI1,62.6,56.0,4.24,4.29,2.67,552
205,0.71,Ideal,I,VS1,62.2,54.0,5.71,5.75,3.56,2557
206,1.04,Ideal,F,SI2,62.0,54.0,6.49,6.51,4.03,4695
207,1.01,Very Good,G,VVS2,62.1,63.0,6.38,6.31,3.94,6371
208,0.42,Premium,I,SI2,61.5,59.0,4.84,4.78,2.96,709
209,0.34,Ideal,E,VVS2,62.3,55.0,4.49,4.53,2.81,826
210,0.25,Very Good,F,VVS2,61.9,57.0,4.07,4.11,2.53,548
211,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,1085
212,0.38,Ideal,J,SI1,61.8,54.0,4.68,4.7,2.9,525
213,1.01,Ideal,H,SI1,61.4,60.0,6.48,6.45,3.97,4680
214,0.34,Premium,F,SI1,59.3,60.0,4.58,4.52,2.7,727
215,0.56,Good,F,VS1,58.6,62.0,5.3,5.45,3.16,1712
216,0.41,Ideal,F,IF,61.1,58.0,4.82,4.84,2.95,1621
217,1.22,Very Good,D,SI2,59.0,58.0,6.96,7.08,4.14,6607
218,1.09,Ideal,F,IF,61.6,55.0,6.59,6.65,4.08,11888
219,1.02,Ideal,G,VS1,61.1,56.0,6.51,6.54,3.99,7077
220,1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,10796
221,1.11,Ideal,F,VS2,60.4,58.0,6.73,6.66,4.04,7275
222,0.32,Ideal,G,VS2,62.0,57.0,4.41,4.37,2.72,672
223,0.5,Good,F,SI1,64.3,57.0,5.03,4.94,3.21,975
224,1.08,Very Good,H,VS2,62.9,59.0,6.47,6.56,4.1,5515
225,0.53,Ideal,F,VVS2,60.8,56.0,5.22,5.24,3.18,2160
226,0.31,Ideal,F,IF,61.7,56.0,4.38,4.41,2.71,901
227,0.35,Ideal,F,VS2,62.2,55.0,4.48,4.53,2.8,706
228,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1181
229,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1093
230,0.71,Very Good,F,SI1,60.7,57.0,5.78,5.81,3.52,2088
231,1.26,Premium,E,SI2,62.9,59.0,6.85,6.82,4.3,6085
232,0.7,Good,H,SI2,61.5,63.0,5.59,5.63,3.45,1899
233,0.31,Premium,F,VS2,61.4,58.0,4.4,4.36,2.69,802
234,0.71,Ideal,F,VVS2,61.6,56.0,5.73,5.75,3.53,4497
235,0.5,Premium,F,SI1,61.0,60.0,5.11,5.08,3.11,1286
236,0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,1447
237,0.31,Premium,I,VS2,62.3,60.0,4.32,4.31,2.69,558
238,0.63,Premium,F,VS2,61.0,61.0,5.6,5.49,3.38,2211
239,0.7,Ideal,D,VS2,61.3,57.0,5.72,5.76,3.52,2960
240,1.02,Ideal,G,VS2,62.0,57.0,6.38,6.46,3.98,5816
241,0.32,Very Good,F,VS2,63.0,57.0,4.33,4.37,2.74,602
242,0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68,552
243,1.5,Very Good,D,SI2,64.0,56.0,7.17,7.23,4.61,10730
244,2.01,Very Good,E,SI2,58.9,60.0,8.2,8.24,4.84,17024
245,2.0,Fair,I,SI2,67.7,57.0,7.88,7.64,5.26,10483
246,1.75,Good,D,SI1,63.8,57.0,7.63,7.53,4.84,12918
247,0.4,Ideal,J,IF,62.4,56.0,4.74,4.71,2.95,1063
248,0.39,Ideal,E,I1,62.8,57.0,4.66,4.61,2.91,655
249,0.91,Very Good,E,VS2,61.6,58.0,6.18,6.2,3.81,4823
250,1.01,Premium,D,VVS2,62.2,59.0,6.36,6.3,3.94,8065
251,0.31,Very Good,E,SI1,60.1,61.0,4.35,4.4,2.63,544
252,0.34,Premium,I,VVS1,62.6,58.0,4.47,4.45,2.79,803
253,1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,4255
254,1.01,Ideal,I,VS2,62.6,54.0,6.4,6.45,4.02,4239
255,0.53,Fair,E,SI1,64.5,53.0,5.16,5.15,3.33,1363
256,1.33,Good,D,VS2,63.6,58.0,7.02,6.91,4.43,11023
257,0.74,Good,H,VS2,63.0,57.0,5.72,5.77,3.62,2327
258,1.05,Ideal,G,IF,62.5,56.0,6.52,6.48,4.06,9012
259,0.7,Ideal,H,VVS1,62.3,55.0,5.66,5.7,3.54,2827
260,1.1,Good,H,SI1,63.6,58.0,6.55,6.5,4.15,5131
261,0.93,Ideal,H,SI1,62.8,56.0,6.19,6.27,3.91,3988
262,1.01,Ideal,J,VS2,62.2,54.0,6.41,6.47,4.01,4443
263,0.33,Ideal,D,VS2,61.8,54.0,4.43,4.47,2.75,681
264,0.51,Good,H,VS2,64.1,54.0,5.02,5.0,3.21,1195
265,0.57,Ideal,E,VS2,60.8,56.0,5.4,5.35,3.27,1819
266,1.2,Good,E,SI2,63.3,55.0,6.73,6.77,4.27,5544
267,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,772
268,0.3,Ideal,D,VS2,62.5,54.0,4.32,4.29,2.69,911
269,0.71,Very Good,J,VS1,63.3,55.0,5.66,5.62,3.57,1981
270,0.24,Good,F,VS1,58.3,61.0,4.09,4.14,2.4,373
271,0.7,Very Good,G,VVS2,59.3,62.0,5.78,5.82,3.44,2905
272,1.15,Very Good,I,SI2,62.0,58.0,6.69,6.73,4.16,4405
273,1.12,Very Good,E,VS1,60.8,58.0,6.69,6.73,4.08,8788
274,0.59,Very Good,I,VVS1,62.8,58.0,5.3,5.34,3.34,1709
275,0.65,Very Good,G,SI1,62.0,58.0,5.5,5.58,3.43,1828
276,0.54,Ideal,G,VVS1,61.8,55.0,5.24,5.27,3.25,2123
277,1.03,Premium,G,VS1,62.2,57.0,6.47,6.42,4.01,6659
278,1.53,Very Good,I,VS1,59.3,58.0,7.5,7.54,4.46,9823
279,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,2726
280,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,7000
281,2.09,Premium,H,SI2,62.1,58.0,8.22,8.17,5.09,17156
282,0.82,Very Good,E,VS2,62.6,60.0,5.91,5.97,3.72,3641
283,1.4,Very Good,G,VVS2,63.4,59.0,7.12,7.04,4.49,11624
284,0.5,Ideal,D,SI1,61.9,57.0,5.08,5.06,3.14,1654
285,1.03,Premium,E,VS2,61.3,61.0,6.53,6.46,3.98,5906
286,0.7,Premium,H,SI1,61.9,59.0,5.67,5.74,3.53,1889
287,0.9,Ideal,H,VVS2,62.0,57.0,6.15,6.2,3.83,4924
288,0.71,Very Good,F,VS2,61.3,56.0,5.7,5.76,3.51,2709
289,0.42,Ideal,J,VS2,62.0,55.0,4.81,4.87,3.0,628
290,0.51,Ideal,D,SI2,61.1,56.0,5.16,5.18,3.16,1264
291,0.55,Premium,E,SI2,59.7,58.0,5.35,5.33,3.19,1364
292,0.58,Ideal,E,VS1,62.9,54.0,5.34,5.31,3.35,2192
293,0.51,Premium,E,VS2,60.6,60.0,5.2,5.19,3.15,1614
294,1.0,Very Good,I,SI1,63.0,58.0,6.3,6.33,3.98,4125
295,0.31,Good,H,VS2,63.1,58.0,4.27,4.32,2.71,489
296,0.3,Very Good,E,VVS1,61.8,56.0,4.29,4.32,2.66,1006
297,0.9,Good,H,SI1,63.2,61.0,6.12,6.03,3.84,3398
298,0.72,Ideal,G,SI2,61.8,57.0,5.73,5.69,3.53,1866
299,1.02,Premium,F,VVS2,60.9,59.0,6.44,6.56,3.96,8616
300,0.57,Very Good,E,SI1,60.3,57.0,5.34,5.4,3.24,1608
301,0.9,Premium,D,SI2,61.2,62.0,6.22,6.07,3.76,4133
302,0.58,Very Good,E,VVS1,59.4,63.0,5.42,5.32,3.19,2568
303,1.28,Ideal,G,VVS2,61.2,54.0,7.03,7.06,4.31,10839
304,0.9,Good,G,SI2,63.8,59.0,6.02,6.05,3.85,3303
305,1.13,Premium,E,SI2,60.4,59.0,6.75,6.7,4.06,5316
306,0.65,Very Good,D,VVS2,57.7,60.0,5.69,5.74,3.3,3025
307,1.21,Premium,I,SI1,62.8,57.0,6.74,6.67,4.21,5218
308,1.03,Premium,I,SI1,62.0,58.0,6.46,6.41,3.99,3749
309,0.91,Ideal,D,VVS2,62.0,54.0,6.2,6.25,3.86,8707
310,0.3,Ideal,H,VVS2,62.1,56.0,4.32,4.28,2.67,776
311,0.4,Ideal,E,VS1,61.7,55.0,4.76,4.73,2.93,1125
312,1.02,Premium,D,IF,61.5,60.0,6.52,6.45,3.99,15370
313,0.51,Premium,J,SI1,62.6,59.0,5.1,5.06,3.18,1020
314,0.5,Ideal,G,IF,60.8,54.0,5.19,5.2,3.16,2287
315,1.5,Fair,H,SI2,64.6,59.0,7.2,7.11,4.62,6250
316,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
317,0.5,Premium,E,VS2,61.8,59.0,5.07,5.02,3.12,1420
318,1.18,Premium,H,VS2,61.1,60.0,6.8,6.76,4.14,4916
319,1.0,Very Good,H,SI1,62.3,60.0,6.34,6.38,3.96,4702
320,0.54,Very Good,F,VS2,59.5,58.0,5.29,5.36,3.17,1662
321,1.0,Good,H,VS2,63.9,57.0,6.32,6.26,4.02,3819
322,0.43,Ideal,D,SI1,62.5,55.0,4.8,4.83,3.01,774
323,0.56,Ideal,G,VS2,60.9,56.0,5.34,5.36,3.26,1662
324,1.24,Ideal,I,SI2,61.8,58.0,6.85,6.9,4.25,5866
325,0.9,Very Good,F,SI2,62.0,61.0,6.14,6.16,3.81,3770
326,0.32,Very Good,G,SI1,63.5,56.0,4.38,4.35,2.77,612
327,0.34,Premium,F,VS2,59.2,60.0,4.56,4.6,2.71,686
328,0.94,Premium,E,SI2,60.4,59.0,6.34,6.37,3.84,3825
329,1.01,Premium,G,VS1,62.6,59.0,6.38,6.43,4.01,6499
330,2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,15877
331,0.9,Good,E,SI2,61.3,61.0,6.13,6.17,3.77,3895
332,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,1043
333,0.7,Fair,F,SI2,57.1,64.0,5.81,5.86,3.33,1990
334,1.53,Premium,H,SI1,59.5,59.0,7.53,7.46,4.46,10398
335,0.32,Very Good,G,VS1,63.2,55.0,4.39,4.37,2.77,828
336,0.32,Ideal,G,VVS2,62.2,56.0,4.38,4.34,2.71,936
337,0.32,Very Good,F,VVS2,62.3,57.0,4.38,4.41,2.73,778
338,1.09,Very Good,F,IF,61.4,56.0,6.62,6.68,4.08,11631
339,0.7,Premium,D,SI1,62.1,62.0,5.63,5.58,3.48,2339
340,0.32,Premium,E,SI2,59.7,60.0,4.43,4.45,2.65,449
341,0.7,Ideal,F,SI1,61.4,57.0,5.67,5.69,3.49,2573
342,0.3,Ideal,E,VS2,62.0,56.0,4.31,4.34,2.68,658
343,1.03,Ideal,G,SI1,62.2,59.0,6.41,6.45,4.0,5684
344,1.01,Fair,F,VS1,64.6,60.0,6.26,6.16,4.01,6366
345,1.0,Premium,H,SI1,61.7,59.0,6.41,6.36,3.94,4144
346,0.34,Ideal,G,VS2,62.1,57.0,4.46,4.5,2.78,596
347,1.24,Ideal,I,SI1,61.3,56.0,6.9,6.93,4.24,5714
348,1.59,Premium,G,SI1,62.2,58.0,7.51,7.45,4.65,9707
349,0.7,Ideal,F,VS1,61.7,55.0,5.72,5.76,3.54,3154
350,0.4,Ideal,F,VS2,62.3,54.0,4.74,4.77,2.96,767
351,0.3,Very Good,H,VS1,62.4,60.0,4.23,4.29,2.66,491
352,1.83,Ideal,J,VS2,62.0,56.0,7.84,7.9,4.88,11406
353,0.58,Good,G,VS1,59.0,62.0,5.44,5.48,3.22,1777
